type	race	ind	gerpa	gerpr
LR	BU	LR.BU.01	2675.10039678744	774.210453722537
LR	BU	LR.BU.02	2838.19290457536	840.768080779332
LR	BU	LR.BU.03	2796.03157486868	871.547201386198
LR	BU	LR.BU.04	2746.98975453217	895.998159446782
LR	BU	LR.BU.05	2740.45452384806	855.634250677877
LR	BU	LR.BU.06	2764.70499526824	882.514425840789
LR	BU	LR.BU.07	2726.26875696291	855.654948194949
LR	BU	LR.BU.08	2831.08403559803	917.563394200959
LR	BU	LR.BU.09	2804.50507579026	882.74467539428
LR	BU	LR.BU.10	2775.20811813984	972.929908184512
LR	BU	LR.BU.11	2783.06726782637	856.576847690461
LR	BU	LR.BU.12	2851.10045609914	899.783227122103
LR	BU	LR.BU.13	2837.590372239	896.725393756445
LR	BU	LR.BU.14	2762.20284152698	891.578142878163
LR	BU	LR.BU.15	2744.63413959293	870.128563701714
LR	BU	LR.BU.16	2718.65948449755	891.70629451413
LR	BU	LR.BU.17	2772.81105446477	971.750805625019
LR	BU	LR.BU.18	2730.85211841503	865.196829121825
LR	BU	LR.BU.19	2747.21658892562	895.371060644831
LR	BU	LR.BU.20	2830.88642888246	838.70578644357
LR	BU	LR.BU.21	2809.19670459871	886.258808624049
LR	BU	LR.BU.22	2811.09895923655	875.213444539366
LR	BU	LR.BU.01	1963.03082205312	590.779058759474
LR	BU	LR.BU.02	1978.58082898178	640.017223034004
LR	BU	LR.BU.03	1819.62485982873	611.423975329851
LR	BU	LR.BU.04	2019.93665556649	724.374323292747
LR	BU	LR.BU.05	1962.71804947701	651.589656583219
LR	BU	LR.BU.06	1961.84498081242	661.410187207033
LR	BU	LR.BU.07	1979.7591640524	623.593777878947
LR	BU	LR.BU.08	1906.04235198562	617.842308069809
LR	BU	LR.BU.09	1973.58425104885	668.382791200117
LR	BU	LR.BU.10	1924.99460197252	564.01446404711
LR	BU	LR.BU.11	2019.37191938555	647.897938195097
LR	BU	LR.BU.12	1891.73998726585	570.735104137591
LR	BU	LR.BU.13	1815.57691636078	594.942106614435
LR	BU	LR.BU.14	1958.92599114608	662.17940343438
LR	BU	LR.BU.15	1892.26764048607	685.192925988593
LR	BU	LR.BU.16	1985.72227012666	594.559712485958
LR	BU	LR.BU.17	1932.10885021713	554.958081830545
LR	BU	LR.BU.18	1840.2694095317	615.04133416823
LR	BU	LR.BU.19	2021.83182341346	724.749151390047
LR	BU	LR.BU.20	1954.74035532096	602.679015401987
LR	BU	LR.BU.21	1903.57543506996	623.402137285706
LR	BU	LR.BU.22	1944.0920847346	624.336574590266
LR	BU	LR.BU.01	1943.48206038697	609.674761272232
LR	BU	LR.BU.02	1887.4684937493	590.769848056374
LR	BU	LR.BU.03	1893.19414970552	705.003979585165
LR	BU	LR.BU.04	1812.94748504864	663.283233002654
LR	BU	LR.BU.05	1879.62109107037	580.56171347015
LR	BU	LR.BU.06	1857.6319772974	721.980045424492
LR	BU	LR.BU.07	1863.64827357118	610.843454311518
LR	BU	LR.BU.08	1863.393251514	533.933234717736
LR	BU	LR.BU.09	1918.92233622025	715.139950786936
LR	BU	LR.BU.10	1862.82930521241	554.704509839233
LR	BU	LR.BU.11	1888.43598299675	613.496548730846
LR	BU	LR.BU.12	1930.53243563327	625.465858734852
LR	BU	LR.BU.13	1877.24913875475	612.5856944461
LR	BU	LR.BU.14	1858.75954989442	726.614466043602
LR	BU	LR.BU.15	1926.12818144122	596.804628248782
LR	BU	LR.BU.16	1857.65494739447	558.394713578372
LR	BU	LR.BU.17	1859.92461767482	553.746454771775
LR	BU	LR.BU.18	1891.73652301987	658.543097387714
LR	BU	LR.BU.19	1802.58071738435	659.614697785497
LR	BU	LR.BU.20	1891.70052185213	608.03219035518
LR	BU	LR.BU.21	1877.22475758039	545.399474791047
LR	BU	LR.BU.22	1959.1025739774	608.838230965504
LR	BU	LR.BU.01	1817.05734147376	536.116884213043
LR	BU	LR.BU.02	1812.70187313798	517.118324294735
LR	BU	LR.BU.03	1860.54597448537	734.115956600674
LR	BU	LR.BU.04	1855.90170387038	582.73994316451
LR	BU	LR.BU.05	1817.36089875124	641.075755798534
LR	BU	LR.BU.06	1863.27276632607	623.483872062789
